ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv,ret_1d,ret_5d,ret_10d,volatility_20,ma_ratio_5_20,vol_ratio_5_20,rsi_14,high_low_range,Next_Ret,Label,log_mv
600031.SH,600031,三一重工,2024-07-16,15.44,15.41,15.51,15.2,294069.0,477232020.0,-0.19,qfq,1.99601593,1.86841617,137978136253.62,-0.0019430051813471572,0.06643598615916968,0.041216216216216184,0.021339013067417343,1.0117467985837663,0.7958834677478845,47.58842443729903,0.020116807268007818,-0.01297858533419849,0,25.65036107660701
600031.SH,600031,三一重工,2024-07-17,15.37,15.21,15.4,14.99,392902.0,628118344.0,-1.3,qfq,1.97146469,1.84543443,136280988206.22,-0.01297858533419849,0.036809815950920255,0.031186440677966054,0.021324312261701214,1.0173456239468728,0.7729564380481431,46.8354430379747,0.026955950032873117,0.018408941485864583,1,25.63798468100596
600031.SH,600031,三一重工,2024-07-18,15.18,15.49,15.53,15.1,401077.0,651414621.0,1.84,qfq,2.00583643,1.87760887,138656995472.58,0.018408941485864583,0.0012928248222365823,0.04874746106973604,0.02151986155552242,1.0147601476014758,0.6662712774022136,47.5,0.02775984506132987,0.003873466752743804,1,25.6552690619192
600031.SH,600031,三一重工,2024-07-19,15.45,15.55,15.6,15.36,465650.0,761381948.0,0.39,qfq,2.01064852,1.88211334,138989639806.8,0.003873466752743804,0.006472491909385258,0.03874415497661987,0.020515354607128222,1.0145404302914662,0.7283426549026739,49.52978056426333,0.015434083601286187,-0.00836012861736335,0,25.657665233535294
600031.SH,600031,三一重工,2024-07-22,15.49,15.42,15.57,15.28,373148.0,605621931.0,-0.84,qfq,1.99471045,1.86719415,137887892661.99,-0.00836012861736335,-0.0012953367875647714,0.048266485384092395,0.02063594411099906,1.0133105465540475,0.7659067538341129,62.20472440944878,0.0188067444876784,-0.017509727626459082,0,25.64970681993609
600031.SH,600031,三一重工,2024-07-23,15.33,15.15,15.4,15.15,235324.0,379116334.0,-1.75,qfq,1.96160831,1.83620814,135599648592.0,-0.017509727626459082,-0.01687216093445809,0.04844290657439454,0.020227805215414122,1.0110888091869303,0.8075847475029126,57.2463768115942,0.0165016501650165,-0.0013201320132012473,0,25.632972620944923
600031.SH,600031,三一重工,2024-07-24,15.12,15.13,15.36,14.89,315576.0,503569725.0,-0.13,qfq,1.9591563,1.83391288,135430149031.26,-0.0013201320132012473,-0.005259697567389865,0.03135650988411731,0.020203611394891807,1.011466982997232,0.8049418220490973,56.521739130434796,0.03106411103767342,-0.018506278916060825,0,25.63172183904327
600031.SH,600031,三一重工,2024-07-25,15.13,14.85,15.25,14.8,328502.0,519380710.0,-1.85,qfq,1.92482816,1.80177924,133057155180.9,-0.018506278916060825,-0.04131697869593287,-0.040077569489334275,0.020493581635885088,1.0048857784233465,0.78847202684164,47.88732394366196,0.030303030303030255,0.019528619528619506,1,25.614044611059406
600031.SH,600031,三一重工,2024-07-26,14.92,15.14,15.4,14.87,340715.0,545606097.0,1.95,qfq,1.96038231,1.83506051,135514898811.63,0.019528619528619506,-0.026366559485530572,-0.020064724919093724,0.020686670393835923,1.0011573691346185,0.7449359908116464,57.49128919860625,0.03500660501981513,-0.025099075297225992,0,25.632347425551004
600031.SH,600031,三一重工,2024-07-29,15.13,14.76,15.22,14.73,308398.0,485024928.0,-2.51,qfq,1.91379411,1.79145057,132294407157.57,-0.025099075297225992,-0.04280155642023342,-0.04404145077720201,0.021348724998938143,0.9951258330846513,0.7206986535538676,55.18394648829432,0.0331978319783198,0.0,0,25.608295633232483
